home_player,away_player,sets,resulthome,resultaway,match_number
Klampár Tibor ifj.,Szerdahelyi Péter,"['11-8', '11-8', '11-6']",3,0,1
Klampár Tibor ifj.,Marosi Viktória dr.,"['11-4', '11-5', '11-7']",3,0,5
Klampár Tibor ifj.,Bodó Tivadar,"['11-8', '11-8', '11-5']",3,0,9
Klampár Tibor ifj.,Nemes György,"['11-5', '11-2', '6-11', '4-11']",3,2,13
Klampár Tibor Kirill,Szerdahelyi Péter,"['11-5', '13-11', '11-4']",3,0,14
Klampár Tibor Kirill,Marosi Viktória dr.,"['7-11', '16-18', '11-4', '7-11']",1,3,2
Klampár Tibor Kirill,Bodó Tivadar,"['11-7', '8-11', '11-7', '11-7']",3,1,6
Klampár Tibor Kirill,Nemes György,"['6-11', '11-6', '11-8', '11-2']",3,1,10
Mezei Levente,Szerdahelyi Péter,"['11-5', '11-6', '12-10']",3,0,11
Mezei Levente,Marosi Viktória dr.,"['11-7', '6-11', '12-10', '7-11']",2,3,15
Mezei Levente,Bodó Tivadar,"['11-13', '9-11', '2-11']",0,3,3
Mezei Levente,Nemes György,"['9-11', '11-7', '8-11', '9-11']",1,3,7
Morvay Bertalan,Szerdahelyi Péter,"['11-9', '6-11', '7-11', '11-8']",2,3,8
Morvay Bertalan,Marosi Viktória dr.,"['9-11', '11-8', '6-11', '4-11']",1,3,12
Morvay Bertalan,Bodó Tivadar,"['5-11', '4-11', '5-11']",0,3,16
Morvay Bertalan,Nemes György,"['6-11', '8-11', '6-11']",0,3,4
