home_player,away_player,sets,resulthome,resultaway,match_number
Freund Tamás,Trungel Nagy Zsolt,"['11-5', '11-7', '12-10']",3,0,1
Freund Tamás,Gyenes Csaba,"['9-11', '10-12', '14-12', '11-5']",3,2,5
Freund Tamás,Erdész Ákos,"['11-7', '11-6', '11-4']",3,0,9
Freund Tamás,Antal Sámuel Benedek,"['12-10', '11-6', '11-8']",3,0,13
Weidinger Zsolt,Trungel Nagy Zsolt,"['11-6', '12-14', '6-11', '3-11']",1,3,14
Weidinger Zsolt,Gyenes Csaba,"['11-5', '8-11', '11-6', '5-11']",2,3,2
Weidinger Zsolt,Erdész Ákos,"['11-9', '7-11', '11-8', '10-12']",3,2,6
Weidinger Zsolt,Antal Sámuel Benedek,"['11-8', '9-11', '9-11', '2-11']",1,3,10
Tódor Attila,Trungel Nagy Zsolt,"['6-11', '11-7', '11-2', '11-3']",3,1,11
Tódor Attila,Gyenes Csaba,"['11-9', '7-11', '11-13', '9-11']",1,3,15
Tódor Attila,Erdész Ákos,"['13-11', '11-8', '11-5']",3,0,3
Tódor Attila,Antal Sámuel Benedek,"['11-9', '11-8', '9-11', '8-11']",2,3,7
Horváth Zoltán,Trungel Nagy Zsolt,"['11-7', '7-11', '11-3', '3-11']",3,2,8
Horváth Zoltán,Gyenes Csaba,"['3-11', '8-11', '7-11']",0,3,12
Horváth Zoltán,Erdész Ákos,"['13-11', '11-8', '11-5']",3,0,16
Horváth Zoltán,Antal Sámuel Benedek,"['11-2', '9-11', '10-12', '11-7']",2,3,4
