home_player,away_player,sets,resulthome,resultaway,match_number
Molnár Tibor,Kiss Tamás,"['11-13', '9-11', '11-7', '11-6']",2,3,1
Molnár Tibor,Németh Bence,"['4-11', '10-12', '14-12', '6-11']",1,3,5
Molnár Tibor,Andrasek AttilaTóth Zsolt,"['12-10', '11-6', '10-12', '7-11']",2,3,9
Molnár Tibor,Bencsik Gergely,"['11-4', '11-7', '11-6']",3,0,13
Pecsenyánszky István,Kiss Tamás,"['11-8', '6-11', '3-11', '11-7']",2,3,14
Pecsenyánszky István,Németh Bence,"['11-4', '5-11', '5-11', '4-11']",1,3,2
Pecsenyánszky István,Andrasek AttilaTóth Zsolt,"['6-11', '10-12', '12-10', '4-11']",1,3,6
Pecsenyánszky István,Bencsik Gergely,"['9-11', '2-11', '11-7', '7-11']",1,3,10
Farkas Márton,Kiss Tamás,"['11-6', '11-7', '11-9']",3,0,11
Farkas Márton,Németh Bence,"['8-11', '9-11', '11-8', '11-6']",2,3,15
Farkas Márton,Andrasek AttilaTóth Zsolt,"['11-2', '14-12', '11-9']",3,0,3
Farkas Márton,Bencsik Gergely,"['3-11', '10-12', '11-13']",0,3,7
Sramkó László,Kiss Tamás,"['11-9', '11-9', '11-9']",3,0,8
Sramkó László,Németh Bence,"['11-5', '12-14', '11-6', '7-11']",3,2,12
Sramkó László,Andrasek AttilaTóth Zsolt,"['5-11', '9-11', '9-11']",0,3,16
Sramkó László,Bencsik Gergely,"['11-9', '12-10', '11-8']",3,0,4
