home_player,away_player,sets,resulthome,resultaway,match_number
Klampár Tibor ifj.,Gyenes Csaba,"['11-3', '11-3', '11-3']",3,0,1
Klampár Tibor ifj.,Erdész Ákos,"['11-4', '11-9', '11-8']",3,0,5
Klampár Tibor ifj.,Czeglédi Viktor Dr.,"['11-7', '11-3', '11-4']",3,0,9
Klampár Tibor ifj.,Antal Sámuel Benedek,"['11-2', '11-5', '11-6']",3,0,13
Németh Roland,Gyenes Csaba,"['11-6', '11-3', '11-7']",3,0,14
Németh Roland,Erdész Ákos,"['11-5', '11-4', '11-5']",3,0,2
Németh Roland,Czeglédi Viktor Dr.,"['6-11', '11-3', '6-11', '11-4']",3,2,6
Németh Roland,Antal Sámuel Benedek,"['11-4', '11-6', '11-4']",3,0,10
Klampár Tibor Kirill,Gyenes Csaba,"['11-8', '12-10', '8-11', '12-10']",3,1,11
Klampár Tibor Kirill,Erdész Ákos,"['11-9', '11-5', '11-6']",3,0,15
Klampár Tibor Kirill,Czeglédi Viktor Dr.,"['11-9', '11-5', '11-2']",3,0,3
Klampár Tibor Kirill,Antal Sámuel Benedek,"['13-11', '13-11', '11-5']",3,0,7
Morvay Bertalan,Gyenes Csaba,"['8-11', '5-11', '8-11']",0,3,8
Morvay Bertalan,Erdész Ákos,"['5-11', '11-7', '6-11', '8-11']",1,3,12
Morvay Bertalan,Czeglédi Viktor Dr.,"['13-11', '8-11', '7-11', '11-8']",3,2,16
Morvay Bertalan,Antal Sámuel Benedek,"['7-11', '6-11', '6-11']",0,3,4
