home_player,away_player,sets,resulthome,resultaway,match_number
Lipka Zsolt,Bártfai Zsombor Pál,"['11-5', '11-8', '11-9']",3,0,1
Lipka Zsolt,Pintér András,"['11-8', '13-15', '9-11', '8-11']",1,3,5
Lipka Zsolt,Hagymási András,"['11-2', '11-9', '11-6']",3,0,9
Lipka Zsolt,Szendrei László,"['11-9', '11-8', '9-11', '11-9']",3,1,13
Horgonyi-Szabó Árpád,Bártfai Zsombor Pál,"['11-5', '11-6', '11-3']",3,0,14
Horgonyi-Szabó Árpád,Pintér András,"['8-11', '6-11', '11-8', '11-5']",2,3,2
Horgonyi-Szabó Árpád,Hagymási András,"['11-5', '11-2', '11-9']",3,0,6
Horgonyi-Szabó Árpád,Szendrei László,"['10-12', '9-11', '13-11', '7-11']",1,3,10
Király Zsolt,Bártfai Zsombor Pál,"['11-7', '11-6', '11-9']",3,0,11
Király Zsolt,Pintér András,"['11-7', '11-3', '10-12', '5-11']",2,3,15
Király Zsolt,Hagymási András,"['11-7', '9-11', '11-6', '7-11']",3,2,3
Király Zsolt,Szendrei László,"['12-14', '11-4', '17-15', '10-12']",2,3,7
Harsányi Zsolt Tamás,Bártfai Zsombor Pál,"['7-11', '9-11', '11-7', '11-1']",3,2,8
Harsányi Zsolt Tamás,Pintér András,"['6-11', '11-13', '5-11']",0,3,12
Harsányi Zsolt Tamás,Hagymási András,"['11-8', '11-9', '11-3']",3,0,16
Harsányi Zsolt Tamás,Szendrei László,"['12-10', '11-6', '7-11', '11-8']",3,1,4
