home_player,away_player,sets,resulthome,resultaway,match_number
Nemes György,Pályi Attila,"['11-3', '11-9', '11-13', '7-11']",3,2,1
Nemes György,Szabó Gergely,"['11-3', '11-7', '11-6']",3,0,5
Nemes György,Várszegi István,"['11-8', '9-11', '11-8', '11-6']",3,1,9
Nemes György,Kádár Péter,"['11-9', '5-11', '11-6', '11-7']",3,1,13
Marosi Viktória dr.,Pályi Attila,"['11-7', '16-14', '11-3']",3,0,14
Marosi Viktória dr.,Szabó Gergely,"['11-3', '11-5', '11-3']",3,0,2
Marosi Viktória dr.,Várszegi István,"['10-12', '6-11', '7-11']",0,3,6
Marosi Viktória dr.,Kádár Péter,"['11-6', '11-6', '11-5']",3,0,10
Szerdahelyi Péter,Pályi Attila,"['8-11', '11-8', '11-6', '5-11']",3,2,11
Szerdahelyi Péter,Szabó Gergely,"['11-13', '11-4', '10-12', '16-14']",3,2,15
Szerdahelyi Péter,Várszegi István,"['11-9', '8-11', '4-11', '4-11']",1,3,3
Szerdahelyi Péter,Kádár Péter,"['7-11', '5-11', '3-11']",0,3,7
Bodó Tivadar,Pályi Attila,"['10-12', '11-6', '10-12', '13-11']",3,2,8
Bodó Tivadar,Szabó Gergely,"['11-8', '11-2', '11-5']",3,0,12
Bodó Tivadar,Várszegi István,"['11-0', '11-0', '11-0']",3,0,16
Bodó Tivadar,Kádár Péter,"['6-11', '9-11', '11-9', '11-5']",2,3,4
