home_player,away_player,sets,resulthome,resultaway,match_number
Németh Ádám dr.,Halász András,"['5-11', '11-2', '11-5', '8-11']",2,3,1
Németh Ádám dr.,Novák Balázs János,"['11-6', '11-4', '11-7']",3,0,5
Németh Ádám dr.,Alaksa Levente,"['11-1', '5-11', '11-7', '13-11']",3,1,9
Németh Ádám dr.,Hertelendy Amadó,"['11-9', '11-5', '9-11', '11-4']",3,1,13
Berzy Tamás,Halász András,"['8-11', '11-4', '11-9', '11-8']",3,1,14
Berzy Tamás,Novák Balázs János,"['11-9', '10-12', '11-7', '9-11']",3,2,2
Berzy Tamás,Alaksa Levente,"['14-16', '7-11', '4-11']",0,3,6
Berzy Tamás,Hertelendy Amadó,"['9-11', '11-9', '6-11', '16-14']",3,2,10
Zsigmond Olivér dr.,Halász András,"['4-11', '6-11', '11-13']",0,3,11
Zsigmond Olivér dr.,Novák Balázs János,"['11-8', '11-7', '7-11', '11-3']",3,1,15
Zsigmond Olivér dr.,Alaksa Levente,"['11-6', '6-11', '10-12', '17-15']",2,3,3
Zsigmond Olivér dr.,Hertelendy Amadó,"['15-13', '8-11', '4-11', '9-11']",1,3,7
Frecska Sándor,Halász András,"['11-5', '5-11', '8-11', '6-11']",1,3,8
Frecska Sándor,Novák Balázs János,"['6-11', '8-11', '11-9', '11-9']",3,2,12
Frecska Sándor,Alaksa Levente,"['11-13', '5-11', '9-11']",0,3,16
Frecska Sándor,Hertelendy Amadó,"['7-11', '7-11', '5-11']",0,3,4
