home_player,away_player,sets,resulthome,resultaway,match_number
Lipka Zsolt,Gyenes Csaba,"['11-13', '13-11', '11-6', '11-4']",3,1,1
Lipka Zsolt,Antal Sámuel Benedek,"['11-13', '12-10', '13-11', '11-5']",3,1,5
Lipka Zsolt,Erdész Ákos,"['7-11', '11-8', '8-11', '11-9']",3,2,9
Lipka Zsolt,Erdész Tibor,"['13-11', '12-10', '11-2']",3,0,13
Harsányi Zsolt Tamás,Gyenes Csaba,"['6-11', '4-11', '11-7', '9-11']",1,3,14
Harsányi Zsolt Tamás,Antal Sámuel Benedek,"['11-8', '11-6', '11-7']",3,0,2
Harsányi Zsolt Tamás,Erdész Ákos,"['11-6', '11-3', '11-7']",3,0,6
Harsányi Zsolt Tamás,Erdész Tibor,"['11-9', '12-10', '11-3']",3,0,10
Horgonyi-Szabó Árpád,Gyenes Csaba,"['5-11', '11-5', '9-11', '11-8']",3,2,11
Horgonyi-Szabó Árpád,Antal Sámuel Benedek,"['11-3', '11-8', '11-9']",3,0,15
Horgonyi-Szabó Árpád,Erdész Ákos,"['11-5', '11-3', '11-5']",3,0,3
Horgonyi-Szabó Árpád,Erdész Tibor,"['11-9', '12-10', '6-11', '8-11']",2,3,7
Király Zsolt,Gyenes Csaba,"['11-7', '6-11', '5-11', '11-4']",2,3,8
Király Zsolt,Antal Sámuel Benedek,"['11-6', '11-2', '6-11', '8-11']",3,2,12
Király Zsolt,Erdész Ákos,"['11-8', '11-7', '12-10']",3,0,16
Király Zsolt,Erdész Tibor,"['7-11', '9-11', '11-8', '11-6']",2,3,4
