home_player,away_player,sets,resulthome,resultaway,match_number
Pintér András,Berzy Tamás,"['11-7', '11-3', '11-2']",3,0,1
Pintér András,Hegyi László,"['11-8', '11-6', '11-6']",3,0,5
Pintér András,Zsigmond Olivér dr.Frecska Sándor,"['11-1', '9-11', '11-9', '11-0']",3,1,9
Pintér András,Németh Ádám dr.,"['11-7', '11-6', '11-9']",3,0,13
Hagymási András,Berzy Tamás,"['8-11', '7-11', '4-11']",0,3,14
Hagymási András,Hegyi László,"['10-12', '11-9', '10-12', '14-12']",2,3,2
Hagymási András,Zsigmond Olivér dr.Frecska Sándor,"['11-9', '11-8', '11-3']",3,0,6
Hagymási András,Németh Ádám dr.,"['11-9', '4-11', '9-11', '12-10']",2,3,10
Szendrei László,Berzy Tamás,"['2-11', '12-14', '10-12']",0,3,11
Szendrei László,Hegyi László,"['11-5', '11-3', '8-11', '5-11']",3,2,15
Szendrei László,Zsigmond Olivér dr.Frecska Sándor,"['11-6', '12-10', '11-5']",3,0,3
Szendrei László,Németh Ádám dr.,"['11-8', '5-11', '4-11', '8-11']",1,3,7
Bártfai Zsombor Pál,Berzy Tamás,"['4-11', '6-11', '11-13']",0,3,8
Bártfai Zsombor Pál,Hegyi László,"['4-11', '3-11', '9-11']",0,3,12
Bártfai Zsombor Pál,Zsigmond Olivér dr.Frecska Sándor,"['5-11', '6-11', '11-13']",0,3,16
Bártfai Zsombor Pál,Németh Ádám dr.,"['2-11', '1-11', '8-11']",0,3,4
